Name,Source(s) Derived From,Natural or Artificial?
Squid Ink,Animal Sources,Natural
Sriracha,"Plant Sources, Other Natural Sources",Natural
St Johns Bread Extract,Plant Sources,Natural
St Johns Wort,Plant Sources,Natural
Stabilizers,"Plant Sources, Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Star Anise,Plant Sources,Natural
Starch,Plant Sources,Natural
Starplex 90,Plant Sources,Natural
Starter Distillate,"Animal Sources, Other Natural Sources",Natural
Stearic Acid,"Animal Sources, Plant Sources",Natural
Stearidonic Acid,Plant Sources,Natural
Stearin,"Animal Sources, Plant Sources",Natural
Stem Ginger,Plant Sources,Natural
Sterol Esters,Plant Sources,Natural
Stevia,Plant Sources,Natural
Stigmasterol,Plant Sources,Natural
Stillingia,Plant Sources,Natural
Stinging Nettle,Plant Sources,Natural
Straw Mushrooms,Other Natural Sources,Natural
Strawberries,Plant Sources,Natural
Strawberry Juice,Plant Sources,Natural
Strawberry Leaf,Plant Sources,Natural
Strawberry Powder,Plant Sources,Natural
Streptococcus Thermophilus,Animal Sources,Natural
Strontium,Other Natural SourcesStrontium occurs naturally in the minerals celestine and strontianite. [1],Natural
Strychnos Ignatia,Plant Sources,Natural
Sucanat,Plant Sources,Natural
Succinic Acid,Other Natural Sources,Natural
Sucralose,Chemical (Synthetic) Sources,Artificial
Sucrase,Plant Sources,Natural
Sucrose,Plant Sources,Natural
Sucrose Acetate Isobutyrate,"Plant Sources, Chemical (Synthetic) Sources",Artificial
Sucrose Esters,Chemical (Synthetic) Sources,Artificial
Sugar,Plant Sources,Natural
Sugar Beet,Plant Sources,Natural
Sugar Beet Syrup,Plant Sources,Natural
Sugar Crystals,Plant Sources,Natural
Sulfites,Plant Sources,Natural
Sulfiting Agents,"Plant Sources, Other Natural Sources",Natural & Possibly Unsafe
Sulfur,Other Natural Sources,Natural
Sulphur Dioxide,"Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Sultanas Raisins,Plant Sources,Natural
Suma,Plant Sources,Natural
Suma Root,Plant Sources,Natural
Sumac,Plant Sources,Natural
Sunflower Butter,Plant Sources,Natural
Sunflower Chips,Plant Sources,Natural
Sunflower Kernels,Plant Sources,Natural
Sunflower Meal,Plant Sources,Natural
Sunflower Nuts,Plant Sources,Natural
Sunflower Oil,Plant Sources,Natural
Sunflower Seed Butter,Plant Sources,Natural
Sunflower Seeds,Plant Sources,Natural
Sunflowers,Plant Sources,Natural
Superoxide Dismutase,"Animal Sources, Plant Sources, Other Natural SourcesThree forms of superoxide dismutase are present in humans, in all other mammals, and most chordates. [1]
In higher plants, superoxide dismutase enzymes (SODs) act as antioxidants and protect cellular components from being oxidized by reactive oxygen species (ROS). [1]
During infection, some bacteria (e.g., Burkholderia pseudomallei) therefore produce superoxide dismutase to protect themselves from being killed. [1]",Natural
Sweet Birch,Plant Sources,Natural
Sweet Corn,Plant Sources,Natural
Sweet Cream Butter,Animal Sources,Natural
Sweet Cream Buttermilk,Animal Sources,Natural
Sweet Peas,Plant Sources,Natural
Sweet Potato Juice Extract,Plant Sources,Natural
Sweet Potatoes,Plant Sources,Natural
Sweet Whey,Animal Sources,Natural
Swiss Cheese,Animal Sources,Natural
Tabasco Peppers,Plant Sources,Natural
Tabebuia,Plant Sources,Natural
Tahini,Plant Sources,Natural
Talc,Other Natural Sources,Natural & Possibly Unsafe
Tallow,Animal Sources,Natural
Tamari,Plant Sources,Natural
Tamarind,Plant Sources,Natural
Tangerine,Plant Sources,Natural
Tangerine Oil,Plant Sources,Natural
Tango,Plant Sources,Natural
Tannic Acid,Plant Sources,Natural
Tannins,Plant Sources,Natural
Tantalum,Other Natural Sources,Natural
Tapioca,Plant Sources,Natural
Tapioca Dextrin,Plant Sources,Natural
Tapioca Starch,Plant Sources,Natural
Tapioca Syrup,Plant Sources,Natural
Tara Gum,Plant Sources,Natural
Taro,Plant Sources,Natural
Tarragon,Plant Sources,Natural
Tartaric Acid,"Plant Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Tatsoi,Plant SourcesThe plant has dark green spoon-shaped leaves which form a thick rosette. [1],Natural
Taurine,Animal SourcesTaurine is found in low amounts in the tissues of many animals.[1],Natural
TBHQ,Chemical (Synthetic) Sources,Artificial
Tea Plant,Plant Sources,Natural
Tea Tree Oil,Plant Sources,Natural
Teff Flour,Plant Sources,Natural
Tellurium,Other Natural Sources,Natural
Tendons,Animal Sources,Natural
Tequila,Plant Sources,Natural
Terbium,Other Natural Sources,Natural
Terminalia Chebula,Plant Sources,Natural
Tetracosanol,Plant Sources,Natural
Tetrapotassium Pyrophosphate,Chemical (Synthetic) Sources,Artificial
Thai Basil,Plant Sources,Natural
Thallium,Other Natural Sources,Natural
Theanine,"Plant Sources, Other Natural Sources",Natural
Thiamin,"Animal Sources, Plant SourcesThiamin is found in several food sources, many of which have very low concentrated levels. Animal sources rich in thiamin consist of; eggs, pork, beef and pork liver and ham. Vegetable and fruit sources consist of; potatoes, oranges, kale, asparagus, brown rice, yeast and oatmeal. [1]",Natural
Thiamine Potassium Iodide,Other Natural Sources,Natural
Thiamine Pyrophosphate,"Plant Sources, Other Natural Sources",Natural
Thistle Seed,Plant Sources,Natural
Thorium,Other Natural Sources,Natural
Threonate,Other Natural Sources,Natural
Threonine,Other Natural Sources,Natural
Thryallis,Plant Sources,Natural
Thulium,Other Natural Sources,Natural
Thyme,Plant Sources,Natural
Tiger Nuts,Plant Sources,Natural
Tilapia,"Animal SourcesTilapia are mainly freshwater fish inhabiting shallow streams, ponds, rivers, and lakes, and less commonly found living in brackish water. [1]",Natural
Tilia,Plant Sources,Natural
Timothy Grass,Plant Sources,Natural
Tin,Other Natural Sources,Natural
Titanium,Other Natural Sources,Natural
Titanium Dioxide,"Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Tocopherols,"Animal Sources, Plant Sources",Natural
Tocopheryl Acetate,"Plant Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Tocotrienols,Plant Sources,Natural
Tofu,Plant Sources,Natural
Tomatillos,Plant Sources,Natural
Tomato Concentrate,Plant Sources,Natural
Tomato Juice,Plant Sources,Natural
Tomato Paste,Plant Sources,Natural
Tomato Pomace,Plant Sources,Natural
Tomato Sauce,Plant Sources,Natural
Tomatoes,Plant Sources,Natural
Tonalin,Plant Sources,Natural
Toothed Clubmoss,Plant Sources,Natural
Tortillas,Plant Sources,Natural
Torula,Other Natural Sources,Natural
Trace Minerals,"Plant Sources, Other Natural Sources",Natural
Tragacanth,Plant Sources,Natural
Treacle,Plant Sources,Natural
Tree Nuts,Plant Sources,Natural
Trehalose,"Animal Sources, Plant Sources, Other Natural SourcesIn nature, trehalose can be found in animals, plants, and microorganisms. In animals, trehalose is prevalent in shrimp, and also in insects, including grasshoppers, locusts, butterflies, and bees, in which blood-sugar is trehalose. The trehalose is then broken down into glucose by the catabolic enzyme trehalase for use. Trehalose is also present in the nutrition exchange liquid of hornets and their larvae. [1]",Natural
Triacetin,"Chemical (Synthetic) SourcesIt is an artificial chemical compound, commonly used as a food additive, for instance as a solvent in flavourings, and for its humectant function, with E number E1518 and Australian approval code A1518. Triacetin is also a component of casting liquor with TG and as an excipient in pharmaceutical products where it is used as a humectant, a plasticizer, and as a solvent. [1]",Artificial
Triaconsanol,"Animal Sources, Plant Sources",Natural
Tribulus,Plant Sources,Natural
Tribulus Terrestris,Plant Sources,Natural
Tricalcium Phosphate,"Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Trichoderma Viride,Other Natural Sources,Natural
Triethyl Citrate,Plant Sources,Natural
Triglyceride,"Animal Sources, Plant Sources",Natural
Trikatu,Plant Sources,Natural
Trimethylglycine,Plant Sources,Natural
Trimethylgycine,Other Natural Sources,Natural
Tripe,Animal Sources,Natural
Tripeptides,"Animal Sources, Plant Sources",Natural
Triphala,Plant Sources,Natural
Trisodium Phosphate,Chemical (Synthetic) Sources,Artificial
Triticale,Plant Sources,Natural
Triticale Flour,Plant Sources,Natural
Trout,Animal Sources,Natural
Truffle Oil,"Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Truffles,Other Natural Sources,Natural
Tryptophan,"Plant Sources, Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Tuna,Animal Sources,Natural
Tungsten,Other Natural Sources,Natural
Tuocha Tea,Plant Sources,Natural
Turbinado Sugar,Plant Sources,Natural
Turkey,Animal Sources,Natural
Turkey Broth,Animal Sources,Natural
Turkey Meal,Animal Sources,Natural
Turkey Tail,Other Natural Sources,Natural
Turmeric,Plant Sources,Natural
Turnips,Plant Sources,Natural
Tussock Grass,Plant Sources,Natural
Tyrosine,Animal Sources,Natural
Tyrosine Alpha Ketoglutarate,"Animal Sources, Plant Sources, Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Ume Plum,Plant Sources,Natural
Unblanched Peanuts,Plant Sources,Natural
Unbleached Flour,Plant Sources,Natural
Uncaria Rhynchophylla,Plant Sources,Natural
Unsweetened Chocolate,Plant Sources,Natural
Urad Beans,Plant Sources,Natural
Uranium,Other Natural Sources,Natural & Possibly Unsafe
Uridine Monophosphate,"Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources) & Possibly Unsafe
Ursolic Acid,"Plant SourcesUrsolic acid is present in many plants, including apples, basil, bilberries, cranberries, elder flower, peppermint, rosemary, lavender, oregano, thyme, hawthorn, and prunes. Apple peels contain large quantities of ursolic acid and related compounds. [1]",Natural
Usnea,Plant Sources,Natural
USP Water,Other Natural Sources,Natural
Uva Ursi,Plant Sources,Natural
Vaccaria,Plant Sources,Natural
Valerenic Acid,Plant Sources,Natural
Valerian,Plant Sources,Natural
Valine,"Animal Sources, Plant Sources",Natural
Vanadium,Other Natural Sources,Natural
Vanadyl Sulfate,"Other Natural Sources, Chemical (Synthetic) SourcesLike most water-soluble sulfates, vanadyl sulfate is only rarely found in nature. Anhydrous form is pauflerite, a mineral of fumarolic origin. Hydrated forms, also rare, include hexahydrate (stanleyite), pentahydrates (minasragrite, orthominasragrite, and anorthominasragrite) and trihydrate. [1]",Both (Can be derived from Natural & Artificial Sources)
Vanilla,Plant Sources,Natural
Vanilla Beans,Plant Sources,Natural
Vanilla Oil,Plant Sources,Natural
Vanillin,"Plant Sources, Chemical (Synthetic) SourcesNaturally extracted from the seed pods of Vanilla planifolia or made synthetically from lignin-containing ""brown liquor"", a byproduct of the sulfite process for making wood pulp. [1]",Both (Can be derived from Natural & Artificial Sources)
Veal,Animal Sources,Natural
Veal Bone,Animal Sources,Natural
Veal Bone Extract,Animal Sources,Natural
Veal Broth,Animal Sources,Natural
Vegetable Ash,Plant Sources,Natural
Vegetable Broth,Plant Sources,Natural
Vegetable Coating,Plant Sources,Natural
Vegetable Color,Plant Sources,Natural
Vegetable Juice,Plant Sources,Natural
Vegetable Oil,Plant Sources,Natural
Vegetable Shortening,"Plant Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Vegetables,Plant Sources,Natural
Vegetal Analog Of Pancreatin,Other Natural Sources,Natural
Velvet Bean,Plant Sources,Natural
Venison,Animal Sources,Natural
Verbena,Plant Sources,Natural
Vermouth,Plant Sources,Natural
Viburnum Opulus,Plant Sources,Natural
Vidalia Onions,Plant Sources,Natural
Vincamine,"Plant SourcesVincamine is an indole alkaloid (specifically a tryptamine) found in the leaves of Vinca minor, comprising about 25-65% of the indole alkaloids found in Vinca minor by weight. [1]",Natural
Vinegar,Plant Sources,Natural
Vinegar Powder,Plant Sources,Natural
Vinpocetine,Chemical (Synthetic) Sources,Artificial
Violets,Plant Sources,Natural
Vitamin A,"Animal Sources, Chemical (Synthetic) SourcesVitamin A can be sourced naturally from fruits, vegetables, animal sources, and also produced synthetically.",Natural
Vitamin A Acetate,Chemical (Synthetic) Sources,Artificial
Vitamin A Palmitate,"Animal Sources, Plant Sources, Chemical (Synthetic) SourcesVitamin A palmitate is the form of vitamin A found naturally in animal sources and also produced synthetically. [1]",Both (Can be derived from Natural & Artificial Sources)
Vitamin B12,"Animal SourcesVitamin B12 is found in beef, turkey, pork, oysters, crab, clams, chicken, cheese, eggs, and milk. [1]",Natural
Vitamin B6,"Animal Sources, Plant Sources",Natural
Vitamin C,"Animal Sources, Plant Sources, Other Natural Sources, Chemical (Synthetic) SourcesVitamin C can be sourced from meat, fruits, vegetables, and some other sources such as mushrooms. There are also artificial/synthetic versions of vitamin C.",Both (Can be derived from Natural & Artificial Sources)
Vitamin D,"Animal Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Vitamin D2,"Other Natural Sources, Chemical (Synthetic) Sources",Artificial
Vitamin E,"Plant SourcesVitamin E can be found in high amounts in almonds, peanuts and hazelnuts, and vegetable oils such as sunflower, wheat germ, safflower, corn and soybean oils. [2]",Natural
Vitamin E Succinate,Plant Sources,Natural
Vitamin K,"Animal Sources, Plant Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Vitamin P,"Plant Sources, Other Natural Sources",Natural
Vitamin U,Plant Sources,Natural
Vitex,Plant Sources,Natural
Vodka,Plant Sources,Natural
Wakame,Plant Sources,Natural
Walnut Meal,Plant Sources,Natural
Walnut Oil,Plant Sources,Natural
Walnuts,Plant Sources,Natural
Wasabi,Plant Sources,Natural
Water,Other Natural Sources,Natural
Watercress,Plant Sources,Natural
Watermelon,Plant Sources,Natural
Watermelon Seeds,Plant Sources,Natural
Wax Beans,Plant Sources,Natural
Wax Coating,"Plant Sources, Other Natural Sources",Both (Can be derived from Natural & Artificial Sources)
Wehani Rice,Plant Sources,Natural
Wheat,Plant Sources,Natural
Wheat Berries,Plant Sources,Natural
Wheat Bran,Plant Sources,Natural
Wheat Flour,Plant Sources,Natural
Wheat Germ,Plant Sources,Natural
Wheat Germ Oil,Plant Sources,Natural
Wheat Gluten,Plant Sources,Natural
Wheat Middlings,Plant Sources,Natural
Wheat Protein,Plant Sources,Natural
Wheat Starch,Plant Sources,Natural
Wheatgrass,Plant Sources,Natural
Whey,Animal Sources,Natural
Whey Peptides,Animal Sources,Natural
Whey Protein Concentrate,Animal Sources,Natural
Whey Protein Isolate,Animal Sources,Natural
Whipping Cream,Animal Sources,Natural
Whiskey,Plant Sources,Natural
White Bean Flour,Plant Sources,Natural
White Beans,Plant Sources,Natural
White Flour,Plant Sources,Natural
White Oak Bark,Plant Sources,Natural
White Pepper,Plant Sources,Natural
White Pumpkin,Plant Sources,Natural
White Tea,Plant Sources,Natural
White Truffle,Other Natural Sources,Natural
White Vinegar,Plant Sources,Natural
White Willow Bark,Plant Sources,Natural
Whitefish,Animal Sources,Natural
Wild Geranium,Plant Sources,Natural
Wild Indigo,Plant Sources,Natural
Wild Rice,Plant Sources,Natural
Wine,Plant Sources,Natural
Wine Vinegar,Plant Sources,Natural
Wineberries,Plant Sources,Natural
Winter Melon,Plant Sources,Natural
Winter Squash,Plant Sources,Natural
Wintergreen,Plant Sources,Natural
Wintergreen Oil,Plant Sources,Natural
Witch Hazel,Plant Sources,Natural
Woolly Grass,Plant Sources,Natural
Worcestershire Sauce,Plant Sources,Natural
Xanthan Gum,Plant Sources,Natural
Xanthine,"Animal Sources, Plant Sources",Natural
Xanthium Fruit,Plant Sources,Natural
Xanthoparmelia,Other Natural Sources,Natural
Xylanase,Plant Sources,Natural
Xylitol,Plant Sources,Natural
Xylose,"Plant SourcesXylose is the main building block for the hemicellulose xylan, which comprises about 30% of some plants (birch for example), far less in others (spruce and pine have about 9% xylan). [1]",Natural
Yacon,Plant Sources,Natural
Yacon Syrup,Plant Sources,Natural
Yams,Plant Sources,Natural
Yarrow,Plant Sources,Natural
Yeast,Other Natural Sources,Natural
Yeast Extract,Other Natural Sources,Natural
Yellow 5,Chemical (Synthetic) Sources,Artificial & Possibly Unsafe
Yellow 6,Chemical (Synthetic) Sources,Artificial & Possibly Unsafe
Yellow Dock,Plant Sources,Natural
Yellow Onions,Plant Sources,Natural
Yellowfin Tuna,Animal Sources,Natural
Yerba Mansa,Plant Sources,Natural
Yerba Mate,Plant Sources,Natural
Yogurt,Other Natural Sources,Natural
Yogurt Cultures,Other Natural Sources,Natural
Yogurt Powder,Animal Sources,Natural
Yohimbine,Plant Sources,Natural
Yohimbine HCL,Plant Sources,Natural
Ytterbium,Other Natural Sources,Natural
Yttrium,Other Natural Sources,Natural
Yucca Extract,Plant Sources,Natural
Yucca Schidigera,Plant Sources,Natural
Yukon Gold Potatoes,Plant Sources,Natural
Yuzu,Plant Sources,Natural
Zeaxanthin,Other Natural Sources,Natural
Zein,Plant Sources,Natural
Zest,Plant Sources,Natural
Zhi Shi,Plant Sources,Natural
Zinc,"Animal Sources, Plant Sources, Other Natural SourcesZinc is found in oysters, most animal proteins, beans, nuts, almonds, whole grains, pumpkin seeds, and sunflower seeds. [1]",Natural
Zinc Ascorbate,"Plant Sources, Other Natural Sources, Chemical (Synthetic) Sources",Natural
Zinc Aspartate,Other Natural Sources,Natural
Zinc Chloride,Other Natural Sources,Natural
Zinc Gluconate,"Plant Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Zinc Oxide,Other Natural Sources,Natural
Zinc Peroxide,"Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Zinc Picolinate,Chemical (Synthetic) Sources,Artificial
Zinc Proteinate,"Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Zinc Sulfate,"Other Natural Sources, Chemical (Synthetic) Sources",Artificial
Zinfandel Wine,Plant Sources,Natural
Zingerone,Plant Sources,Natural
Zirconium,Other Natural Sources,Natural
Zucchini,Plant Sources,Natural
